indice,nombre,tipo_producto,tipo_ia,tipo_discapacidad,usabilidad_score,robustez_score,operabilidad_score,puntuacion_global
11,OpenBCI (con la plataforma Galea),"Interfaces cerebro-computadora, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking, Retroalimentación háptica inteligente","Motora, Cognitiva",4.333333333333333,3.0,0.0,2.63
8,BrainGate,"Interfaces cerebro-computadora, Control de cursor alternativo, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking",Motora,4.333333333333333,3.0,0.0,2.63
27,EyeControl,"Seguimiento ocular, Software de comunicación asistiva, Dispositivos asistivos inteligentes","Eye-tracking, Síntesis de voz, Procesamiento de Lenguaje Natural",Motora,4.333333333333333,3.0,0.0,2.63
36,Project Mariner,"Asistentes conversacionales, Asistentes por voz, Navegación por voz, Herramientas de simplificación de texto","Procesamiento de Lenguaje Natural, Síntesis de voz, Visión por computadora, Reconocimiento de voz",Visual,3.6666666666666665,2.3333333333333335,1.5,2.62
41,Web Captioner,"Sistemas de subtitulado automático, Herramientas de simplificación de texto","Reconocimiento de voz, Procesamiento de Lenguaje Natural",Auditiva,3.0,4.333333333333333,0.0,2.5
13,Neurable,"Interfaces cerebro-computadora, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking","Motora, Cognitiva",3.6666666666666665,3.0,0.0,2.37
12,Emotiv,"Interfaces cerebro-computadora, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking","Motora, Cognitiva",3.0,3.6666666666666665,0.0,2.3
17,Sesame Phone,"Control de cursor alternativo, Dispositivos asistivos inteligentes","Visión por computadora, Motion tracking",Motora,3.6666666666666665,1.0,1.5,2.22
9,NextMind,"Interfaces cerebro-computadora, Control de cursor alternativo, Dispositivos asistivos inteligentes",Análisis de EEG,"Motora, Cognitiva",3.0,3.0,0.0,2.1
15,EyeSpeak,"Seguimiento ocular, Software de comunicación asistiva, Dispositivos asistivos inteligentes","Eye-tracking, Síntesis de voz, Procesamiento de Lenguaje Natural","Motora, Visual",3.0,1.0,1.5,1.95
18,GazeSpeak (Microsoft),"Software de comunicación asistiva, Seguimiento ocular","Eye-tracking, Procesamiento de Lenguaje Natural, Síntesis de voz",Motora,3.0,1.0,1.5,1.95
